Iteration,fit_time,evaluate_time,hit_rate,ndcg
6,83.28979897499084,30.07159972190857,0.785430463576159,0.5287546924464652
11,83.78419542312622,1.117591381072998,0.7980132450331126,0.5479249324897687
16,83.71404981613159,0.9884002208709717,0.7986754966887417,0.5491703204566292
21,84.58892893791199,0.9901168346405029,0.7983443708609271,0.553472893533363
26,80.95424962043762,1.0815351009368896,0.8026490066225166,0.5536313359952818
31,86.31230044364929,1.058783769607544,0.8041390728476822,0.5519733625239943
36,87.52939653396606,1.1213362216949463,0.8054635761589404,0.5560960953382376
41,86.9387800693512,1.1692931652069092,0.8029801324503312,0.554911706991069
46,87.03944396972656,1.1688652038574219,0.8051324503311258,0.5555447282308497
51,86.6810212135315,1.204660415649414,0.81158940397351,0.5591905834700467
