Iteration,fit_time,evaluate_time,hit_rate,ndcg,mrr
0,10.665841817855835,32.61002063751221,0.4293046357615894,0.260350320976414,0.12934435353443363
1,10.755874395370483,32.36768412590027,0.4422185430463576,0.26948026884340187,0.13342191694754127
2,10.644253253936768,33.584552526474,0.46788079470198674,0.2882272737492722,0.14186101042502597
3,10.610154867172241,31.385937452316284,0.4966887417218543,0.310519932373713,0.15202211560218248
4,9.910695791244507,31.323720932006836,0.5268211920529802,0.3353123076663419,0.1636522830784808
5,10.579063415527344,32.06717395782471,0.552317880794702,0.359198914995077,0.1759638216973528
6,10.665012121200562,33.00267672538757,0.5718543046357616,0.3834464345987459,0.19075876711834616
7,10.267292022705078,30.90003204345703,0.5892384105960264,0.4038641830521702,0.20277186221233362
8,10.503613471984863,32.90953326225281,0.6033112582781457,0.42471391001432346,0.21647357489261732
9,10.48172664642334,32.50062322616577,0.6205298013245033,0.4457290693165911,0.22898905088883428
10,10.419677972793579,32.47632718086243,0.6291390728476821,0.46208074001562965,0.2406247410890153
11,10.61755108833313,30.771262168884277,0.6377483443708609,0.476966196663484,0.2509074574823797
12,10.515263319015503,32.16925311088562,0.6493377483443709,0.49452338080101466,0.26247175010480917
13,10.420650959014893,32.017114877700806,0.6587748344370861,0.5093026047548272,0.27241266696935296
14,10.42066216468811,31.438436031341553,0.6657284768211921,0.525032004064943,0.28414800851696437
15,10.517854928970337,31.90740966796875,0.6710264900662252,0.5363308087100058,0.2924370754363043
16,10.115474224090576,32.04624319076538,0.6764900662251656,0.5494663175140687,0.3022864187427373
17,10.448429107666016,31.30242156982422,0.6821192052980133,0.5611178288695887,0.3108001701420898
18,10.49817419052124,31.242754459381104,0.6864238410596026,0.570848108411352,0.3180787843485079
19,9.996643781661987,30.817646980285645,0.6912251655629139,0.5814784350496601,0.32595610578774503
