Iteration,fit_time,evaluate_time,hit_rate,ndcg,mrr
0,10.200917959213257,33.56275773048401,0.4288079470198676,0.25775970850656593,0.12714007385043918
1,9.920762300491333,33.410160779953,0.43625827814569534,0.262237262572901,0.12850403249343922
2,9.98422646522522,33.571688175201416,0.44006622516556293,0.26561108040859266,0.13028021601162812
3,9.065914154052734,32.52269959449768,0.4498344370860927,0.2718859137761514,0.13266619545705657
4,9.993593454360962,34.3651659488678,0.46175496688741724,0.2829110069972404,0.13879731838484569
5,9.993454456329346,34.28817558288574,0.4829470198675497,0.2990256983580782,0.1461345318677374
6,10.071948289871216,33.28996515274048,0.5057947019867549,0.3176113083319798,0.15489006440043596
7,9.880733013153076,33.69449186325073,0.5259933774834437,0.33494283272114295,0.1634978843566128
8,9.958343744277954,33.45915699005127,0.5447019867549668,0.3531681617179337,0.17322395672949278
9,9.380497694015503,32.86472249031067,0.561092715231788,0.37145098110168223,0.18378998450674114
10,9.826908349990845,33.73080587387085,0.5745033112582781,0.3869134421708747,0.19270864749020225
11,9.987585067749023,33.011762619018555,0.5822847682119205,0.3994384166572874,0.2011557410350493
12,9.863755941390991,31.772166967391968,0.5890728476821192,0.4090700331421171,0.207313494753159
13,9.767478942871094,33.25680136680603,0.5975165562913908,0.41988472345888644,0.21386924568796606
14,9.487896919250488,32.49886631965637,0.6039735099337749,0.4290421153934992,0.21967043526034838
15,9.707728385925293,32.6926486492157,0.6071192052980132,0.43610559472879673,0.22487974665035232
16,9.732916593551636,31.965088844299316,0.6125827814569537,0.44356783362169516,0.2296191096162796
17,9.594905853271484,32.78294110298157,0.615728476821192,0.45002049024966784,0.23426684360918923
18,9.050882577896118,33.48776650428772,0.6190397350993377,0.4565680767465062,0.2389037205013489
19,9.44435739517212,32.19873595237732,0.621523178807947,0.4616962887730052,0.24261937973321102
